No,Rank,Total Score,Class,Total POI in Grid,[Raw] PUSAT PERBELANJAAN,[Raw] RESTORAN,[Raw] NEGERI,[Raw] KERETA API,[Raw] RUMAH SAKIT UMUM DAERAH/NEGERI,[Raw] USIA 25-29,[Raw] USIA 30-34,[Raw] S1,[Raw] WIRASWASTA,[Raw] PERDAGANGAN,[Normalized] PUSAT PERBELANJAAN,[Normalized] RESTORAN,[Normalized] NEGERI,[Normalized] KERETA API,[Normalized] RUMAH SAKIT UMUM DAERAH/NEGERI,[Normalized] USIA 25-29,[Normalized] USIA 30-34,[Normalized] S1,[Normalized] WIRASWASTA,[Normalized] PERDAGANGAN,[Final] PUSAT PERBELANJAAN,[Final] RESTORAN,[Final] NEGERI,[Final] KERETA API,[Final] RUMAH SAKIT UMUM DAERAH/NEGERI,[Final] USIA 25-29,[Final] USIA 30-34,[Final] S1,[Final] WIRASWASTA,[Final] PERDAGANGAN,ID_GRID
36,36,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,35
37,37,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,36
38,38,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,37
39,39,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,38
40,40,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,39
41,41,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,40
42,42,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,41
43,43,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,42
44,44,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,43
45,45,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,44
